PKC PKA Raf Mek Erk Akt Jnk P38 Plcg PIP3 PIP2
x2 x2 x1 x1 x2 x1 x2 x1 x1 x2 x1
x1 x1 x3 x3 x3 x3 x1 x1 x1 x2 x1
x2 x2 x2 x2 x3 x1 x2 x1 x2 x3 x1
x1 x1 x3 x3 x3 x3 x1 x3 x1 x3 x1
x1 x3 x1 x1 x2 x1 x1 x1 x1 x2 x1
x1 x1 x1 x1 x1 x2 x2 x2 x1 x2 x1
x2 x2 x2 x2 x3 x2 x2 x1 x1 x3 x1
x1 x2 x2 x2 x2 x1 x1 x1 x3 x2 x3
x1 x2 x1 x1 x1 x2 x2 x1 x1 x2 x1
x1 x2 x1 x1 x2 x1 x2 x1 x3 x2 x3
x2 x2 x1 x1 x2 x1 x1 x1 x1 x3 x2
x1 x2 x1 x1 x2 x1 x2 x1 x2 x2 x1
x1 x3 x1 x1 x2 x1 x1 x1 x1 x3 x1
x1 x1 x1 x2 x1 x2 x1 x1 x1 x3 x2
x2 x2 x1 x1 x2 x1 x1 x1 x1 x3 x1
x2 x2 x1 x1 x2 x1 x2 x1 x1 x1 x1
x2 x2 x2 x2 x2 x1 x2 x2 x1 x3 x1
x1 x2 x3 x2 x2 x1 x1 x1 x1 x1 x1
x1 x2 x3 x1 x2 x2 x1 x1 x1 x2 x1
x1 x1 x3 x3 x3 x3 x3 x3 x2 x3 x2
x2 x2 x1 x1 x3 x1 x1 x1 x3 x2 x3
x1 x2 x2 x2 x2 x1 x2 x1 x1 x3 x2
x2 x2 x1 x2 x2 x1 x1 x1 x1 x1 x1
x1 x3 x1 x1 x2 x1 x1 x1 x3 x1 x3
x3 x2 x1 x1 x1 x2 x2 x1 x1 x3 x1
x2 x2 x3 x1 x2 x1 x1 x1 x1 x1 x1
x1 x2 x2 x1 x2 x2 x2 x1 x1 x3 x1
x2 x2 x1 x1 x2 x1 x1 x2 x1 x1 x1
x2 x2 x1 x1 x2 x1 x2 x1 x1 x2 x1
x1 x1 x3 x1 x1 x2 x2 x3 x1 x3 x1
x1 x3 x1 x1 x1 x1 x1 x3 x2 x3 x2
x2 x2 x1 x1 x2 x1 x2 x1 x3 x1 x2
x2 x2 x1 x1 x2 x2 x1 x1 x1 x3 x1
x2 x2 x1 x1 x2 x1 x1 x1 x1 x3 x1
x2 x2 x1 x1 x2 x1 x1 x1 x1 x3 x1
x2 x2 x1 x1 x2 x1 x2 x2 x1 x3 x1
x2 x2 x1 x1 x2 x2 x1 x1 x3 x2 x2
x1 x1 x2 x2 x2 x2 x1 x3 x3 x1 x3
x1 x1 x3 x3 x3 x3 x2 x3 x1 x1 x1
x1 x1 x3 x3 x3 x3 x3 x3 x1 x2 x1
x1 x3 x1 x1 x2 x1 x1 x1 x1 x1 x1
x2 x2 x2 x2 x1 x1 x2 x1 x1 x3 x1
x2 x2 x3 x2 x2 x1 x1 x1 x1 x3 x1
x2 x2 x1 x1 x2 x1 x2 x1 x3 x2 x3
x1 x2 x2 x2 x2 x1 x1 x1 x1 x1 x1
x1 x2 x2 x1 x3 x2 x1 x1 x1 x1 x1
x3 x2 x1 x1 x2 x1 x2 x1 x1 x2 x1
x3 x2 x1 x1 x1 x2 x2 x2 x1 x3 x1
x2 x2 x1 x1 x2 x1 x2 x1 x1 x1 x1
x2 x2 x2 x1 x2 x1 x2 x1 x1 x2 x1
x1 x3 x3 x1 x3 x2 x1 x1 x3 x3 x3
x3 x2 x1 x1 x2 x1 x2 x1 x1 x1 x1
x1 x2 x1 x1 x2 x1 x2 x1 x3 x1 x2
x2 x2 x1 x1 x3 x1 x1 x1 x1 x2 x1
